minutes,time
21,2010-01-16
10,2010-01-14
35,2010-01-26
31,2010-01-28
33,2010-01-06
30,2010-01-10
38,2010-01-25
7,2010-01-12
15,2010-01-04
31,2010-01-19
38,2010-01-07
22,2010-02-11
40,2010-02-25
2,2010-02-05
36,2010-02-06
34,2010-02-15
4,2010-03-26
12,2010-03-08
24,2010-03-11
31,2010-03-01
17,2010-03-24
19,2010-03-16
10,2010-03-10
39,2010-03-19
16,2010-03-12
16,2010-03-20
33,2010-03-02
22,2010-03-28
30,2010-03-14
37,2010-04-04
34,2010-04-09
2,2010-04-06
35,2010-04-08
34,2010-04-22
28,2010-04-23
35,2010-04-19
24,2010-04-17
27,2010-04-27
29,2010-04-15
31,2010-04-14
18,2010-04-21
38,2010-04-13
21,2010-04-11
3,2010-04-02
36,2010-05-18
5,2010-05-10
27,2010-05-21
16,2010-05-14
27,2010-06-15
13,2010-06-26
15,2010-06-18
34,2010-06-03
26,2010-06-07
13,2010-06-01
6,2010-06-28
32,2010-06-20
20,2010-06-24
19,2010-06-12
7,2010-06-04
36,2010-06-05
11,2010-06-25
37,2010-06-13
37,2010-06-14
21,2010-06-21
17,2010-06-27
25,2010-06-10
13,2010-06-06
27,2010-06-19
4,2010-06-09
11,2010-06-02
4,2010-06-23
26,2010-06-17
34,2010-06-16
37,2010-06-08
6,2010-07-13
4,2010-07-04
5,2010-07-07
27,2010-07-21
40,2010-07-09
30,2010-07-28
23,2010-07-11
15,2010-07-06
39,2010-07-03
21,2010-07-24
23,2010-07-02
11,2010-07-14
18,2010-08-05
34,2010-08-21
37,2010-08-11
36,2010-08-25
15,2010-08-17
11,2010-08-20
21,2010-08-26
17,2010-08-28
22,2010-08-19
26,2010-08-15
36,2010-08-16
38,2010-08-07
3,2010-08-03
33,2010-08-02
25,2010-08-08
39,2010-08-09
22,2010-08-22
13,2010-08-14
9,2010-08-27
9,2010-08-04
35,2010-08-06
19,2010-08-12
22,2010-08-10
28,2010-08-23
32,2010-08-01
9,2010-08-18
9,2010-09-16
39,2010-09-09
24,2010-09-01
22,2010-09-07
31,2010-11-15
19,2010-11-22
21,2010-11-05
16,2010-11-08
23,2010-11-27
18,2010-11-19
37,2010-11-10
18,2010-12-08
31,2010-12-10
8,2010-12-21
35,2010-12-09
3,2010-12-05
28,2010-12-27
17,2010-12-11
38,2010-12-24
17,2010-12-19
24,2010-12-15
36,2010-12-25
30,2010-12-01
15,2010-12-07
30,2010-12-23
3,2010-12-22
35,2010-12-16
12,2010-12-04
3,2010-12-17
31,2010-12-12
23,2010-12-02
38,2010-12-18
26,2011-01-17
21,2011-01-04
24,2011-01-11
26,2011-01-19
8,2011-01-27
16,2011-01-14
15,2011-01-02
35,2011-01-21
38,2011-01-09
28,2011-01-28
25,2011-01-25
10,2011-01-20
30,2011-01-08
14,2011-01-13
4,2011-01-15
27,2011-01-23
23,2011-01-03
24,2011-01-05
35,2011-01-10
25,2011-01-16
30,2011-01-24
30,2011-01-18
23,2011-02-19
24,2011-02-01
25,2011-02-25
4,2011-02-27
31,2011-02-12
6,2011-02-02
31,2011-03-18
40,2011-03-19
15,2011-03-25
20,2011-03-11
25,2011-03-20
12,2011-03-07
24,2011-03-26
10,2011-03-05
